ParticipantID,SocialCongruentFirstblock,SocialCongruentSecondblock,SocialIncongruentFirstblock,SocialIncongruentSecondblock,NonSocialCongruentFirstblock,NonSocialCongruentSecondblock,NonSocialIncongruentFirstblock,NonSocialIncongruentSecondblock,Social/Non-social First
ParticipantID,111,112,121,122,211,212,221,222,Social/Non-social First
925252,464.5574444444444,445.13011363636366,465.3163043478261,464.5978571428571,524.5804347826087,465.2887500000001,492.8145555555553,455.65452380952377,Social First
927780,548.7799999999999,619.4097222222222,627.2705681818181,618.5920238095233,533.8256976744185,581.5165853658539,590.4181250000003,565.4276744186049,Non-social First
931788,446.1725,404.5361904761906,472.5251136363637,456.5537179487181,411.10590909090917,377.8909523809524,395.3706944444445,407.4083333333335,Social First
931910,419.2733695652174,466.53766666666667,463.63545454545454,505.77309523809515,425.6320652173914,447.69565217391295,512.0563333333333,498.42499999999995,Non-social First
932016,638.8932608695654,480.6407608695652,656.5194444444444,537.4246739130435,390.42336956521734,451.7498913043477,448.42639534883733,443.07366666666655,Social First
932180,425.43793478260864,408.47913043478263,469.44445652173914,466.8773255813955,419.4950000000002,443.4742391304349,465.1321590909089,462.1001162790697,Non-social First
932302,494.391304347826,458.9130434782609,515.2608695652173,488.47727272727275,498.8478260869565,481.0652173913044,546.4666666666665,535.9555555555557,Social First
932499,687.455581395349,747.8682926829268,712.8791304347828,782.4615789473685,670.1630434782608,622.8348780487805,698.7847777777781,614.3296590909092,Non-social First
966025,515.6183695630434,503.34673912391287,546.2565116279071,572.939347826087,518.1127173934782,490.94511363636377,589.9924444444446,607.8909090931819,Social First
966330,393.81677777777765,356.42622222666665,386.76318181818175,407.72309523571425,389.06152173913046,393.21706521956526,436.4546590909092,391.1253409090908,Non-social First
966712,462.53499999782616,437.6223913065219,480.3683720930232,466.278522725,425.8720652195652,438.62043478043495,464.5391111133333,462.68155556000005,Social First
966984,487.6306521717393,468.7434782630435,510.9698780487806,527.2271951195122,485.4030434782608,536.9702173913042,535.8546511651165,579.1849999931818,Non-social First
967379,497.76619565173905,494.432499997826,571.5676744186046,517.9544318204547,519.1147826086957,697.5227173913047,559.8807142857144,620.7541025641026,Social First
968759,568.0962222200003,488.9199999977778,491.62771739130426,497.4508888888889,479.22622221999984,458.02260869565214,495.215000002174,486.87622222,Non-social First
969013,429.2954347804348,422.0942391326087,440.62677777777776,447.7777777777779,427.3013043478261,439.3818478260871,429.20340909090913,459.1401111088888,Social First
969294,453.5984090931818,457.7864444466667,478.7401111111111,456.76202380714284,451.7279347847827,447.63666666666643,507.48454545681847,478.45792683414635,Non-social First
969422,390.4647777777777,414.14033333333333,442.6426087,441.68568181590905,431.76608695652175,389.8822826086956,436.3255681818182,457.870888888889,Social First
969620,674.0828409113637,657.3825000000002,622.5802173891303,613.3626666622221,637.8982954545455,622.0245652173912,605.0306666666665,581.9338636386362,Non-social First
969805,421.1240217413044,458.3453260869565,501.4604444488888,481.40739130652156,419.63511110888896,421.0684444444445,448.2990217391305,446.5735869586957,Social First
971395,408.961170206383,413.26088888888876,454.350777771111,457.0994680787234,473.4691489382978,461.9231818272728,538.173953476744,503.79188887777775,Non-social First
971505,419.5403261,443.8855434673913,442.40821427857145,459.79444444444454,438.72555556444456,422.8647674441861,451.8514772999999,458.4031395372095,Social First
971624,461.24228260652166,483.8320000177779,475.8423863727272,539.4134782695654,482.2320652434782,443.27250000869554,526.9254545431816,485.3456666622223,Non-social First
971753,419.5811627906977,418.0424444555555,451.7211627906976,438.1380434760869,440.14144445333335,439.80522221777767,471.84174418837205,438.5732558046511,Social First
971885,477.7103260717389,478.16456521304343,517.341931815909,543.9877907000001,433.59228260652185,442.0326086804349,481.1150000086955,495.0936956586958,Non-social First
972029,595.6190217369566,566.6307608673915,576.9554347804344,574.1321739021739,497.5257608608697,509.28771739130434,498.6439999977778,507.5104347739131,Social First
972869,488.7048913130435,525.3233695521741,522.1031521934784,548.8574444399999,498.4990217326087,531.2695651999998,611.399347828261,591.4765217260867,Non-social First
972924,499.67152174347814,558.8154347804348,581.0865217434783,580.1202173934782,577.1196739217394,559.8852173913044,597.6528260891304,576.1557608586957,Social First
973173,361.4964772749999,355.35651163023243,399.4943589820514,391.2149999951219,359.97772728409086,361.02445650652186,378.446666668889,380.0114634341463,Non-social First
973606,440.1054347826086,422.18554347826097,472.0034444444446,449.2897777777779,458.1586956521739,417.75488888888873,434.39130952380935,446.06554347826096,Social First
977842,392.3706818181817,380.2317777844446,388.34022727727273,388.13727272499983,379.07709302093025,424.1053333333333,387.3695555511111,389.84677778,Non-social First
977946,490.56217390434796,535.2511956434782,583.6938888911111,576.8240909181817,511.6354347826085,504.60510870434786,561.9279347826086,547.5593023093024,Social First
978174,487.02858695217395,511.0920652217387,562.6125555622222,542.9998863636364,558.382608680435,538.8756818250001,585.8290909272727,525.3513043369562,Non-social First
978398,511.49079545227306,441.35500001956524,544.0015909204542,471.5195454636363,548.2787777799997,430.35358694999985,558.023617038298,452.45222222,Social First
978579,525.9441304434782,524.3463043586955,560.2534782608698,522.3809782695652,504.3115217391304,521.1564130608697,547.5277777888887,556.3879999999999,Non-social First
978813,392.1697777711112,390.4937777755555,451.35952381428564,435.3214285666668,420.63749999520456,512.8458139627907,488.7770731682927,529.2546153974355,Social First
979046,489.3717391347828,478.8108139441861,537.8356097585365,574.5912500000001,469.4206666711112,425.30369565217404,469.3662820435897,476.0801162860466,Non-social First
